Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Stryper,2026-12-05,8:30 PM,"Coca-Cola Music Hall, San Juan",,Concert / Live Music,https://seatgeek.com/stryper-tickets/san-juan-puerto-rico-coca-cola-music-hall-2026-12-05-8-30-pm/concert/18345963,,seatgeek: https://seatgeek.com/stryper-tickets/san-juan-puerto-rico-coca-cola-music-hall-2026-12-05-8-30-pm/concert/18345963,1,"San Juan, Puerto Rico",18.4554,-66.0924
Kany Garcia,2026-12-06,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/kany-garcia-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-06-8-30-pm/concert/18261968,,seatgeek: https://seatgeek.com/kany-garcia-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-06-8-30-pm/concert/18261968,1,"San Juan, Puerto Rico",18.4278,-66.0614
Arcangel,2026-12-11,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/arcangel-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-11-8-30-pm/concert/18584338,,seatgeek: https://seatgeek.com/arcangel-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-11-8-30-pm/concert/18584338,1,"San Juan, Puerto Rico",18.4278,-66.0614
Arcangel,2026-12-12,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/arcangel-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-12-8-30-pm/concert/18584339,,seatgeek: https://seatgeek.com/arcangel-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-12-8-30-pm/concert/18584339,1,"San Juan, Puerto Rico",18.4278,-66.0614
Arcangel,2026-12-13,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/arcangel-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-13-8-30-pm/concert/18584340,,seatgeek: https://seatgeek.com/arcangel-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-13-8-30-pm/concert/18584340,1,"San Juan, Puerto Rico",18.4278,-66.0614
Puerto Rico Bowl,2026-12-22,1:30 PM,"Estadio Juan Ramon Loubriel, Bayamon",,Sports & Fitness,https://seatgeek.com/puerto-rico-bowl-tickets/ncaa-football/2026-12-22-1-30-pm/18283680,,seatgeek: https://seatgeek.com/puerto-rico-bowl-tickets/ncaa-football/2026-12-22-1-30-pm/18283680,1,"San Juan, Puerto Rico",18.393248,-66.150856
DSPCC Workshop Experience in San Juan January 8th - 10th,2027-01-08,8:00 AM - 12:00 PM,"Balneario del Escambrón, Balneario del Escambrón, San Juan, 00910, Puerto Rico, San Juan, San Juan 00910",,Business / Networking,https://www.eventbrite.com/e/dspcc-workshop-experience-in-san-juan-january-8th-10th-tickets-1993362986352,,eventbrite: https://www.eventbrite.com/e/dspcc-workshop-experience-in-san-juan-january-8th-10th-tickets-1993362986352,1,"San Juan, Puerto Rico",18.466,-66.106
San Juan Bear Weekend 2027,2027-02-11,7:00 PM - 2:00 AM,"San Juan, 1199 Calle del Carmen, San Juan, San Juan 00907",,Nightlife / Party,https://www.eventbrite.com/e/san-juan-bear-weekend-2027-tickets-1992436567408,,eventbrite: https://www.eventbrite.com/e/san-juan-bear-weekend-2027-tickets-1992436567408,1,"San Juan, Puerto Rico",18.466,-66.106
Cristian Castro,2027-04-03,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/cristian-castro-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2027-04-03-8-30-pm/concert/18513390,,seatgeek: https://seatgeek.com/cristian-castro-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2027-04-03-8-30-pm/concert/18513390,1,"San Juan, Puerto Rico",18.4278,-66.0614
Southwest Celeberation,2027-08-28,10:00 AM - 12:00 PM,"San Juan, 5000 Blvd. Román Baldorioty de Castro, San Juan, San Juan 00979",,Culture / Heritage,https://www.eventbrite.com/e/southwest-celeberation-tickets-1983551672448,,eventbrite: https://www.eventbrite.com/e/southwest-celeberation-tickets-1983551672448,1,"San Juan, Puerto Rico",18.466,-66.106
